Date,Value
2001-06-30,103.24299947
2001-07-31,103.87164155
2001-08-31,104.48802423
2001-09-30,105.0989225
2001-10-31,105.54184973
2001-11-30,105.83446612
2001-12-31,106.27003573
2002-01-31,106.94920104
2002-02-28,107.64892084
2002-03-31,108.25602243
2002-04-30,108.88446352
2002-05-31,109.67890216
2002-06-30,110.67830675
2002-07-31,111.69444597
2002-08-31,112.47945078
2002-09-30,112.95362389
2002-10-31,113.10685994
2002-11-30,113.11077686
2002-12-31,113.19223434
2003-01-31,113.45484019
2003-02-28,114.1422201
2003-03-31,115.36790551
2003-04-30,116.89301012
2003-05-31,118.4574554
2003-06-30,119.82671195
2003-07-31,120.71932001
2003-08-31,120.98274534
2003-09-30,120.8274482
2003-10-31,120.79262801
2003-11-30,121.16995371
2003-12-31,121.92809699
2004-01-31,123.11442266
2004-02-29,124.68521276
2004-03-31,126.39855379
2004-04-30,128.02455519
2004-05-31,129.34020887
2004-06-30,130.48694978
2004-07-31,131.67251042
2004-08-31,132.59859969
2004-09-30,133.36660629
2004-10-31,134.15213616
2004-11-30,134.8061224
2004-12-31,135.52652049
2005-01-31,136.5389712
2005-02-28,137.65051757
2005-03-31,138.77283696
2005-04-30,140.27230662
2005-05-31,142.28056084
2005-06-30,144.38708629
2005-07-31,146.1879813
2005-08-31,147.48460646
2005-09-30,148.49834767
2005-10-31,149.64604878
2005-11-30,150.8056407
2005-12-31,151.85300422
2006-01-31,153.05608655
2006-02-28,154.49212702
2006-03-31,156.1274259
2006-04-30,158.18401519
2006-05-31,160.59656194
2006-06-30,162.76642533
2006-07-31,164.28880005
2006-08-31,165.39989372
2006-09-30,166.48402643
2006-10-31,167.47227974
2006-11-30,168.15775171
2006-12-31,168.76226542
2007-01-31,169.59504118
2007-02-28,170.73246115
2007-03-31,172.24287915
2007-04-30,174.04323776
2007-05-31,175.73872831
2007-06-30,177.16428683
2007-07-31,178.3999453
2007-08-31,178.98337138
2007-09-30,178.47205206
2007-10-31,177.33222095
2007-11-30,176.24676497
2007-12-31,175.47704227
2008-01-31,175.06509877
2008-02-29,175.18727004
2008-03-31,175.75681634
2008-04-30,176.53007148
2008-05-31,177.44705713
2008-06-30,178.16556027
2008-07-31,178.36169242
2008-08-31,177.93102972
2008-09-30,176.70148603
2008-10-31,174.7601939
2008-11-30,172.6243449
2008-12-31,170.68844185
2009-01-31,169.1940102
2009-02-28,168.47706345
2009-03-31,168.69332602
2009-04-30,169.50324473
2009-05-31,170.25174488
2009-06-30,170.47436219
2009-07-31,170.09239162
2009-08-31,169.35905722
2009-09-30,168.59195126
2009-10-31,167.828144
2009-11-30,167.02419422
2009-12-31,166.37443803
2010-01-31,166.04871195
2010-02-28,166.05116354
2010-03-31,166.27789868
2010-04-30,166.39769883
2010-05-31,166.05273624
2010-06-30,165.23151631
2010-07-31,164.24313025
2010-08-31,163.35559981
2010-09-30,162.67881318
2010-10-31,162.16504023
2010-11-30,161.7612616
2010-12-31,161.5230731
2011-01-31,161.42397802
2011-02-28,161.5234559
2011-03-31,161.86094731
2011-04-30,162.34103229
2011-05-31,162.85041597
2011-06-30,163.4062745
2011-07-31,163.83397261
2011-08-31,163.70389626
2011-09-30,162.91438594
2011-10-31,161.84536269
2011-11-30,161.06930558
2011-12-31,160.79676266
2012-01-31,160.93074907
2012-02-29,161.45404945
2012-03-31,162.47573587
2012-04-30,163.93073885
2012-05-31,165.34447509
2012-06-30,166.30166115
2012-07-31,166.71497726
2012-08-31,166.74679393
2012-09-30,166.5391628
2012-10-31,166.09704204
2012-11-30,165.54114073
2012-12-31,165.11144942
2013-01-31,165.06976391
2013-02-28,165.6049712
2013-03-31,166.90852219
2013-04-30,168.94384127
2013-05-31,171.04419102
2013-06-30,172.60173955
2013-07-31,173.57799403
2013-08-31,174.07646985
2013-09-30,174.09301784
2013-10-31,173.72773184
2013-11-30,173.36284666
2013-12-31,173.17484324
2014-01-31,173.24726703
2014-02-28,173.78687576
2014-03-31,174.74603827
2014-04-30,175.98000803
2014-05-31,177.34635671
2014-06-30,178.48322654
2014-07-31,179.08734343
2014-08-31,179.26016341
2014-09-30,179.32559708
2014-10-31,179.55111322
2014-11-30,179.86893335
2014-12-31,180.06832322
2015-01-31,180.18053886
2015-02-28,180.34326789
2015-03-31,180.92928439
2015-04-30,182.17714767
2015-05-31,183.93137529
2015-06-30,185.80234016
2015-07-31,187.17833104
2015-08-31,187.54455307
2015-09-30,187.00839092
2015-10-31,185.97832479
2015-11-30,184.72418109
2015-12-31,183.61489581
2016-01-31,183.05144799
2016-02-29,183.20368604
2016-03-31,184.02824789
2016-04-30,185.24355203
2016-05-31,186.36518256
2016-06-30,187.22453062
2016-07-31,187.90836538
2016-08-31,188.4084971
2016-09-30,188.45656474
2016-10-31,187.7940186
2016-11-30,186.76247918
2016-12-31,185.9988199
2017-01-31,185.88865731
2017-02-28,186.45791669
2017-03-31,187.47368242
2017-04-30,188.74811107
2017-05-31,190.10803524
2017-06-30,191.20113911
2017-07-31,191.76887563
2017-08-31,192.01354227
2017-09-30,192.30371073
2017-10-31,192.74624475
2017-11-30,193.25254388
2017-12-31,193.557479
