Date,Value
2012-01-31,125.40300403
2012-02-29,126.10175993
2012-03-31,127.5968028
2012-04-30,129.279198
2012-05-31,130.69518411
2012-06-30,131.80726462
2012-07-31,132.49955067
2012-08-31,132.54475961
2012-09-30,132.46542656
2012-10-31,132.70136943
2012-11-30,132.95179464
2012-12-31,133.16969834
2013-01-31,133.5374696
2013-02-28,134.25730201
2013-03-31,135.73243678
2013-04-30,137.89487135
2013-05-31,140.21479008
2013-06-30,141.93646148
2013-07-31,142.88300248
2013-08-31,143.41913641
2013-09-30,143.83911815
2013-10-31,144.1442888
2013-11-30,144.36003206
2013-12-31,144.76112763
2014-01-31,145.18576234
2014-02-28,146.06532908
2014-03-31,147.82443363
2014-04-30,149.83546526
2014-05-31,151.57438287
2014-06-30,152.96250183
2014-07-31,153.88184612
2014-08-31,154.5628579
2014-09-30,155.07918833
2014-10-31,155.38331962
2014-11-30,155.80305949
2014-12-31,156.26638185
2015-01-31,156.80956595
2015-02-28,157.99923195
2015-03-31,159.82436721
2015-04-30,161.63903194
2015-05-31,163.37901359
2015-06-30,165.12692637
2015-07-31,166.25303957
2015-08-31,166.38435288
2015-09-30,166.48629706
2015-10-31,166.9503634
2015-11-30,167.21605529
2015-12-31,167.3017275
2016-01-31,167.99403274
2016-02-29,169.66077448
2016-03-31,171.38351385
2016-04-30,173.10198579
2016-05-31,175.15734762
2016-06-30,176.67600403
2016-07-31,177.61089052
2016-08-31,178.4431125
2016-09-30,179.04349105
2016-10-31,179.17940764
2016-11-30,178.93477715
2016-12-31,178.92759072
2017-01-31,180.03070117
2017-02-28,181.82297505
2017-03-31,183.87566034
2017-04-30,186.66880189
2017-05-31,188.98590205
2017-06-30,189.87511954
2017-07-31,190.18363523
2017-08-31,190.40595606
2017-09-30,190.7475169
2017-10-31,191.00109476
2017-11-30,191.15777673
2017-12-31,191.614575
